year,cps_name,new_name,start_pos,end_pos,col_type,description,notes
1994,HRYEAR,YEAR,67,68,integer,YEAR OF INTERVIEW,"Value is 94, must add 1900"
1994,GESTFIPS,STATE,93,94,factor,FEDERAL INFORMATION PROCESSING STANDARDS (FIPS) STATE CODE,ordered
1994,PEAGE,AGE,122,123,integer,PERSONS AGE AS OF THE END OF SURVEY WEEK,topcoded at 90
1994,PESEX,SEX,129,130,factor,SEX,
1994,PEEDUCA,EDUCATION,137,138,factor,HIGHEST LEVEL OF SCHOOL COMPLETED OR DEGREE RECEIVED,ordered
1994,PERACE,RACE,139,140,factor,RACE,
1994,PRHSPNON,HISPANIC,157,158,factor,HISPANIC OR NON-HISPANIC,
1994,PWSSWGT,WEIGHT,613,622,integer,FINAL WEIGHT,"4 implied decimals; must divide by 10,000"
1994,PES3,VRS_VOTE,817,818,factor,In any election some people are not able to vote because they are sick or busy or have some other reason and others do not want to vote. Did (you/name) vote in the election held on November 8th?,
1994,PES4,VRS_REG,819,820,factor,(Were you/Was name) registered to vote in the November 8th election?,"EDITED UNIVERSE: PES3 = 2, -2, -3"
1994,PES5,VRS_VOTE_TIME,821,822,factor,At what time of day did (you/name) vote?,EDITED UNIVERSE: PES3 = 1; ordered
1994,PES6,VRS_RESIDENCE,823,824,factor,How long (have you/has name) lived at this address?,ordered
1996,HRYEAR,YEAR,67,68,integer,YEAR OF INTERVIEW,"Value is 96, must add 1900"
1996,GESTFIPS,STATE,93,94,factor,FEDERAL INFORMATION PROCESSING STANDARDS (FIPS) STATE CODE,ordered
1996,PEAGE,AGE,122,123,integer,PERSONS AGE AS OF THE END OF SURVEY WEEK,topcoded at 90
1996,PESEX,SEX,129,130,factor,SEX,
1996,PEEDUCA,EDUCATION,137,138,factor,HIGHEST LEVEL OF SCHOOL COMPLETED OR DEGREE RECEIVED,ordered
1996,PERACE,RACE,139,140,factor,RACE,
1996,PRHSPNON,HISPANIC,157,158,factor,HISPANIC OR NON-HISPANIC,
1996,PWSSWGT,WEIGHT,613,622,integer,FINAL WEIGHT,"4 implied decimals; must divide by 10,000"
1996,PES1,VRS_VOTE,815,816,factor,"In any election some people are not able to vote because they are sick or busy or have some other reason, and others do not want to vote. Did (you/name) vote in the election held on Tuesday, November 5?",
1996,PES2,VRS_REG,817,818,factor,(Were you/Was name) registered to vote in the November 5 election?,"EDITED UNIVERSE: PES1 = 2, -2, -3, -9"
1996,PES3,VRS_VOTE_WHYNOT,819,820,factor,What was the main reason (you/name) did not vote?,EDITED UNIVERSE: PES1 = 2 and PES2 = 1
1996,PES4,VRS_VOTE_METHOD,821,822,factor,"How did (you/name) vote? Did (you/he/she) vote in person on election day, in person before election day, or by mail?",EDITED UNIVERSE: PES1 = 1
1996,PES5,VRS_REG_SINCE95,823,824,factor,"Did (you/name) register to vote after January 1, 1995?",EDITED UNIVERSE: PES1 = 1 or PES2 = 1
1996,PES6,VRS_REG_DMV,825,826,factor,"There are various ways people can register to vote. Did (you/name) register to vote when (you/he/she) obtained or renewed (your/his/her) driver's license, or did (you/he/she) register in some other way?",EDITED UNIVERSE: PES5 = 1
1996,PES7,VRS_REG_METHOD,827,828,factor,How did you register to vote?,EDITED UNIVERSE: PES6 = 2
1996,PES8,VRS_RESIDENCE,829,830,factor,How long (have you/has name) lived at this address?,ordered
1998,HRYEAR4,YEAR,18,21,integer,YEAR OF INTERVIEW,
1998,GESTFIPS,STATE,93,94,factor,FEDERAL INFORMATION PROCESSING STANDARDS (FIPS) STATE CODE,ordered
1998,PEAGE,AGE,122,123,integer,PERSONS AGE AS OF THE END OF SURVEY WEEK,topcoded at 90
1998,PESEX,SEX,129,130,factor,SEX,
1998,PEEDUCA,EDUCATION,137,138,factor,HIGHEST LEVEL OF SCHOOL COMPLETED OR DEGREE RECEIVED,ordered
1998,PERACE,RACE,139,140,factor,RACE,
1998,PRHSPNON,HISPANIC,157,158,factor,HISPANIC OR NON-HISPANIC,
1998,PWSSWGT,WEIGHT,613,622,integer,FINAL WEIGHT,"4 implied decimals; must divide by 10,000"
1998,PES1,VRS_VOTE,857,858,factor,"In any election some people are not able to vote because they are sick or busy or have some other reason, and others do not want to vote. Did (you/name) vote in the election held on Tuesday, November 3?",
1998,PES2,VRS_REG,859,860,factor,(Were you/Was name) registered to vote in the November 3 election?,"EDITED UNIVERSE: PES1 = 2, -2, -3, -9"
1998,PES3,VRS_VOTE_WHYNOT,861,862,factor,What was the main reason (you/name) did not vote?,EDITED UNIVERSE: PES1 = 2 and PES2 = 1
1998,PES4,VRS_VOTE_METHOD,863,864,factor,"How did (you/name) vote? Did (you/he/she) vote in person on election day, in person before election day, or by mail?",EDITED UNIVERSE: PES1 = 1
1998,PES5,VRS_REG_SINCE95,865,866,factor,"Did (you/name) register to vote after January 1, 1995?",EDITED UNIVERSE: PES1 = 1 or PES2 = 1
1998,PES6,VRS_REG_DMV,867,868,factor,"There are various ways people can register to vote. Did (you/name) register to vote when (you/he/she) obtained or renewed (your/his/her) driver's license, or did (you/he/she) register in some other way?",EDITED UNIVERSE: PES5 = 1
